"Year","Count","Prediction","Lower95CI","Upper95CI"
1965,4865,4837.91514845368,4305.20829527759,5375.42541312422
1966,NA,4357.172348336,3424.1845784396,5456.89103046302
1967,3842,3856.07300248213,3469.92588545013,4300.82418598868
1968,3172,3350.93161089491,3028.19116371281,3885.65639054569
1969,4305,4320.49532271882,3904.60577696557,4806.91623122764
1970,5543,5553.36431699012,5016.58882092116,6164.0901702328
1971,7281,7179.04407920823,6413.56105341102,7926.40709793863
1972,8215.00000000001,8263.13554440063,7459.16436375694,9149.0595363024
1973,9981,9862.37301212475,8793.85708306058,10877.1283808731
1974,10529,10621.7637486692,9602.68009598536,11748.0417252952
1975,12607,12330.7419604792,10936.6985804823,13555.1490009782
1976,12014,12067.5937577945,10790.2580311764,13440.0973147185
1977,NA,12368.2688167335,9586.20297442776,15725.2409689785
1978,12680,12511.9334185292,11081.0391184994,13862.9670936819
1979,10838,11157.8341766186,10094.933604777,12646.7822288721
1980,NA,12596.9045921353,9488.63049280538,16343.0333861066
1981,NA,14138.9587224743,10588.8392805524,18324.8931557607
1982,16019,15787.7595451692,13874.9136312093,17468.4469314011
1983,NA,16129.8135487658,11935.8323428564,21634.6347955647
1984,NA,16300.8121113633,11696.228456522,22201.1864595782
1985,NA,16367.2828446174,12142.1714703797,21641.9095363923
1986,16286,16370.6670531678,14733.9032625149,18226.0163699646
1987,17007,17104.90170834,15421.5681282835,19004.7863668662
1988,18913,18485.0032418741,16311.9905092524,20452.2585812499
1989,NA,16684.9209470114,13021.7296305514,21059.0392835159
1990,14829,14948.0635706021,13366.2902497562,16765.7380886168
1991,NA,14248.9984078377,11108.9388050575,17929.9842405698
1992,12859,13386.684656692,12041.6048154336,15307.6111446694
1993,17585,17242.8331151505,15340.6948107146,18878.7325243904
1994,19045,18604.8024356909,16457.8318883216,20488.4602370928
1995,16791,16772.3678191025,14902.4930411197,18645.3451051194
1996,NA,15085.9585403066,11264.8852751056,19653.9946739935
1997,NA,13485.4123520091,10082.7718170371,17704.6074819608
1998,11736,11962.193072797,10775.0532183925,13509.1441237784
1999,11742,11992.6568280766,10875.053028129,13502.9850127465
2000,14539,14130.1734990661,12479.3874870182,15455.3115294685
2001,13400,13301.8919621181,11918.0089181297,14656.6738853446
2002,11969,11819.0274241907,10544.5018669842,12936.089166594
2003,9215.00000000001,9392.97038984494,8525.94392586054,10526.0924876753
2004,8335,8533.9035847527,7784.06216126346,9562.9256700402
2005,9545,9266.44126395078,8200.99391127089,10190.2290901201
2006,NA,8048.38353104906,6280.85461331261,10248.9652694515
2007,6738,6823.77500195803,6179.06693607355,7601.24407774085
2008,6278.99999999999,6401.98917322308,5800.37746758739,7139.79786662195
2009,7109,6922.25398807345,6107.53279593296,7621.78891241444
2010,6070,5992.24115609531,5367.19571594724,6594.56906463412
2011,4635,4715.7562919584,4273.84512665523,5284.0714334011
2012,4174,4218.09199135053,3789.61733065676,4721.98630262064
2013,3915,4003.13840592098,3622.6160721659,4502.54859501559
2014,NA,4414.46432699168,3491.10450594794,5548.15188607183
2015,4844,4819.88865702925,4290.59466006806,5371.785242846
2016,4912,4973.13187098768,4499.75973155576,5566.85722692859
2017,5354,5477.07780841891,4966.70626116645,6158.23286930024
2018,7579,7188.99249635859,6200.35024157452,7927.39270933914
2019,5800,5953.30915433714,5411.73269896443,6664.47056419616
2020,6019,6060.09381320036,5480.91097811634,6735.83189682227
2021,6246,6264.61798981312,5663.57887109485,6946.88072903178
2022,6673,6558.72490014188,5866.08139979135,7216.86920454145
2023,5796,5874.52412447989,5328.43719921001,6571.80200554983
2024,5597,5753.18847709678,5223.90043832188,6446.96357952809
2025,7226,7047.75307017544,6220.89200263245,7808.56770964599
