"Year","Count","Prediction","Lower95CI","Upper95CI"
2004,8335,8526.86238388652,7692.51511672324,9529.34938269106
2005,9545,9297.68857400297,8215.59426035203,10229.2863930116
2006,NA,8014.0187716053,6274.2032107504,10123.9302381059
2007,6738,6825.28973254088,6115.20984502486,7641.46809572991
2008,6278.99999999999,6386.08871771246,5776.48605101663,7118.90504402147
2009,7109,6942.1496786108,6156.37944797413,7635.4874561413
2010,6070,6015.11397582935,5406.05677553403,6619.18213582686
2011,4635,4713.8747234701,4276.56998043475,5300.18430272601
2012,4174,4219.07839801447,3813.99005444521,4738.40596634053
2013,3915,4004.04890941423,3628.18966796136,4543.28477564912
2014,NA,4434.52423565615,3436.55126349933,5566.06970426152
2015,4844,4813.45847737414,4313.19959710648,5331.79407400169
2016,4912,4958.68411265335,4493.94188562778,5504.910637031
2017,5354,5473.16878641553,4965.00048209686,6141.63854367216
2018,7579,7254.61290846028,6311.14705756562,7998.73018062544
2019,NA,6692.46471140826,5198.28997049596,8477.09159098967
2020,6019,6076.04411289744,5407.13916964939,6844.45121731841
2021,NA,6047.18007808417,4546.13121604041,7895.82593111339
2022,NA,5961.13740459562,4459.63107820019,7811.09239831263
2023,5796,5819.6137190948,5152.86316130085,6550.72504685297
2024,NA,5913.44550575866,4086.76672427811,8120.12359710666
2025,NA,6035.91529090143,3673.43042624715,9461.87328318909
